Pclass,Name,Survived,Sex,Age,Hometown,Role,Role Additional info,Image,Misc Information,Lifeboat,Body Disposition,Job Area,Source of info 1,Source of info 2
n/a,"Barrett, A ",0,male,15,Southampton,Bell boy,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Harris, C. H ",0,male,16,Southampton,Bell Boy,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Watson, W ",0,male,14,Southampton,Bell boy,,,One of the 2 youngest crew members aboard the Titanic,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Nichols, Alfred",0,male,34,Southampton,Boatswain,,,,,died inside ship,Deck Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Haines, Albert",1,male,31,Southampton,Boatswain's mate,,,,9,,Deck Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Chisnall, G.",0,male,35,Southampton,Boilermaker,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Bully, H ",0,male,21,Southampton,Boots,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Chapman, J ",1,male,32,Southampton,Boots,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Perrin, W ",0,male,39,Southampton,Boots,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Fletcher, P. W ",0,male,26,London,Bugler,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Smith, Edward John",0,male,62,Southampton,Captain,,https://www.encyclopedia-titanica.org/files/admin/files/captain-smith-titanic.jpg,"Fifth Officer Harold Lowe ran away from home at age 14 and began life at sea, starting as a ship’s boy on schooners around the Welsh coast.",,,Deck Department,"https://www.lva.virginia.gov/exhibits/titanic/crew.php
Source 2 https://titanicfacts.net/titanic-crew/",
n/a,"Painton, J. A. ",0,male,29,Oxford,Captain's steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Hutchinson, John H.",0,male,26,Southampton,Carpenter,,,,,,Deck Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Maxwell, John",0,male,31,Southampton,Carpenter,,,,,,Deck Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Scavino, C ",0,male,42,London,Carver, Ala Carte Restaurant,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Bowker, Miss",0,female,27,"Little Sutton, Cheshire",Cashier, Ala Carte Restaurant,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Bricoux, Roger",0,male,,,Cellist,,,,,,The Band,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Taylor, Percy, C.",0,male,,,Cellist,,,,,,The Band,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Woodward, J. W.",0,male,,,Cellist,,,,,,The Band,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Proctor, Chester",0,male,40,Southampton,Chef,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Rousseau, P ",0,male,49,London,Chef, Ala Carte Restaurant,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Mauge, Paul ",1,male,25,London,Chef's assistant, Ala Carte Restaurant,,,5,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Joughin, Charles",1,male,32,Southampton,Chief baker,,,,Collapsible B,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Stebbing, S ",0,male,,Southampton,Chief boots,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Maytum, Alfred",0,male,52,Southampton,Chief butcher,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Sloan, P.",0,male,31,Southampton,Chief electrician,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Bell, Joseph",0,male,50,Southampton,Chief Engineer,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Belford, Walter ",1,male,31,"Itchen, Hampshire",Chief night baker,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Wilde, Henry Tingle",0,male,39,Liverpool,Chief officer,,,,,,Deck Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Walpole, John",0,male,48,Southampton,Chief pantryman,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Hardy, John",1,male,37,Southampton,Chief second class steward,,,,Collapsible D,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Dodd, George",0,male,44,Southampton,Chief second steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Latimer, Andrew J ",0,male,55,Liverpool,Chief steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
