,Pclass,Name,Survived,Sex,Age,Hometown,Role,Role Additional info,Image,Misc Information,Lifeboat,Body Disposition,Job Area,Source of info 1,Source of info 2,Home_Lat,Home_Lng
133,,"Perotti, Alfonsi",0.0,male,20.0,London,Assistant waiter, Ala Carte Restaurant,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,51.5073509,-0.1277583
134,,"Petrachio, A ",0.0,male,,London,Assistant waiter, Ala Carte Restaurant,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,51.5073509,-0.1277583
135,,"Petrachio, S ",0.0,male,,London,Assistant waiter, Ala Carte Restaurant,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,51.5073509,-0.1277583
136,,"Piatti, L ",0.0,male,17.0,London,Assistant waiter, Ala Carte Restaurant,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,51.5073509,-0.1277583
137,,"Ricardona, R ",0.0,male,32.0,London,Assistant waiter, Ala Carte Restaurant,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,51.5073509,-0.1277583
138,,"Sacaggi, G ",0.0,male,24.0,London,Assistant waiter, Ala Carte Restaurant,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,51.5073509,-0.1277583
139,,"Bessant, E ",0.0,male,31.0,Southampton,Baggage master,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
140,,"Hartley, Wallace Henry",0.0,male,,"Colne, Lancashire",Bandmaster,,,,,"yes, buried Colne Lancashire",The Band,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,53.85564,-2.176991
141,,"Klein, H ",0.0,male,33.0,Southampton,Barber,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
142,,"Weikman, August H.",1.0,male,51.0,Southampton,Barber,,,,Collapsible C,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
